Comment,Designator,Footprint,LCSC
FPC-05F-22PH20,J1,FFC 22P 0.5mm bottom-contact horizontal,C2856804
F0502-B-15-15T-R,J2,FFC 15P 0.5mm bottom-contact horizontal,C2844857
