Ref,Val,Package,PosX,PosY,Rot,Side
"J1","FPC-05F-22PH20","Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal",112.000000,-119.000000,0.000000,top
"J2","F0502-B-15-15T-R","Hirose_FH12-15S-0.5SH_1x15-1MP_P0.50mm_Horizontal",112.000000,-106.000000,180.000000,top
